18:34:46.522 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
18:34:46.542 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
18:34:46.562 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
18:34:46.562 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
18:34:46.562 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_000037D4 (PID-specific).
18:34:46.562 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_000037D4 (PID-specific) has no value.
18:34:46.562 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
18:34:46.676 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=120ms
18:34:46.677 |V| JetEnvironment                | :1                 | HostInit phase completed.
18:34:46.677 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
18:34:47.016 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir C:\_UnityProjects\Unbeatable-Fanmade\Unbeatable-FanMade\Library\RiderFlow\2022.1.0.129\Backend~\bin.
18:34:47.095 |V| DeployedPackages              | :1                 | Scanning folder C:\_UnityProjects\Unbeatable-Fanmade\Unbeatable-FanMade\Library\RiderFlow\2022.1.0.129\Backend~\bin for Deployed Packages. Picking nugets? True!
